Successful opening input_fpa
Successful opening new_fake10kdba
Malloc done
Memcpy FP done
Memcpy done
Malloc again done
ID 2530-506	: 0.525134
ID 6938-1387	: 0.525101
ID 9695-1939	: 0.525032
ID 1900-380	: 0.524919
ID 7304-1460	: 0.524881
ID 9405-1881	: 0.524837
ID 626-125	: 0.524729
ID 4042-808	: 0.524727
ID 98-19	: 0.524719
ID 8023-1604	: 0.524688
ID 9773-1954	: 0.524662
ID 640-128	: 0.524636
ID 6004-1200	: 0.524538
ID 8929-1785	: 0.524465
ID 4737-947	: 0.524453
ID 49-9	: 0.524233
ID 9524-1904	: 0.524144
ID 4361-872	: 0.523959
ID 1516-303	: 0.523923
ID 5926-1185	: 0.523885
ID 7289-1457	: 0.523447
ID 5986-1197	: 0.523358
ID 6711-1342	: 0.523332
ID 3533-706	: 0.523316
ID 5479-1095	: 0.523177
ID 4173-834	: 0.52275
ID 1527-305	: 0.52273
ID 9086-1817	: 0.52268
ID 5684-1136	: 0.522656
ID 7722-1544	: 0.522645
ID 4288-857	: 0.522601
ID 7001-1400	: 0.522572
